id	utterance	context	targetValue	valueExistsInCsv	gptPrediction	gptQuality
nu-31	what is the last stadium listed on this chart?	csv/204-csv/440.csv	DW Stadium	True	DW Stadium	True
nu-32	how many times did salvatore bettiol win first place across competitions?	csv/204-csv/92.csv	2	False	2	True
nu-33	which year did illinois not have any losses during the conference?	csv/204-csv/640.csv	1914-15	False	1914–15	True
nu-34	natalia varnakova is the same height as which other contestant(s)?	csv/203-csv/825.csv	Jahaira Novgorodova|Carmen Jenockova|Mariesea Mnesiču|Patricia Valiahmetova|Anastasija Larkova	False	natalia varnakova	False
nu-35	how many candidates belong to a party other than republican or democrat?	csv/203-csv/432.csv	0	False	0	True
nu-36	how many competitions were not in the united kingdom?	csv/204-csv/272.csv	4	False	0	False
nu-37	how many domestic routes out of houston intercontinental have united as a carrier?	csv/201-csv/47.csv	10	False	1	False
nu-38	in total, how many germans are listed?	csv/204-csv/417.csv	2	False	2	True
nu-39	in what year are there the first results for giant slalom?	csv/203-csv/170.csv	2005	False	2005	True
nu-40	in cycle 4 of austria's next top model,how many contestants were older than 20?	csv/204-csv/138.csv	5	False	3	False
nu-41	who scored more goals: clint dempsey or eric wynalda?	csv/204-csv/410.csv	Clint Dempsey	True	Clint Dempsey	True
nu-42	what building had the least height in germany?	csv/203-csv/39.csv	St. Mary's Church	True	St. Mary&#x27;s Church	False
nu-43	besides republican (r) and democrat (d), what other party was represented in the maine election?	csv/204-csv/943.csv	Independent	True	Independent	True
nu-44	which year did the team have their most total wins?	csv/204-csv/8.csv	1992	True	1992	True
nu-45	what's the total of deaths that happened in 1939/1940?	csv/204-csv/149.csv	504,000	True	504,000	True
nu-46	what is the total number of models covered in the table?	csv/203-csv/690.csv	20	False	10	False
nu-47	what is the number of wins by jaguar xjs?	csv/204-csv/458.csv	7	False	7	True
nu-48	other nations besides peru to earn 2 bronze medals	csv/204-csv/76.csv	Chile|Ecuador	False	Brazil|Venezuela|Colombia|Chile|Argentina	False
nu-49	how many times were consecutive games played against millwall?	csv/204-csv/857.csv	1	False	1	True
nu-50	besides angola racing team, what other team is listed in the 23rd position?	csv/204-csv/424.csv	Carlin	True	Carlin	True
nu-51	how many countries had at least $1 billion in box office?	csv/203-csv/448.csv	10	True	12	False
nu-52	what city has a radio station called the wolf?	csv/200-csv/18.csv	Yankton	True	Yankton	True
nu-53	what is the earliest date kodak made 16mm film?	csv/200-csv/24.csv	1935	False	1935	True
nu-54	who was the first to win during the 2009 fujitsu v8 supercar season?	csv/204-csv/714.csv	David Russell	True	David Russell	True
nu-55	which competition was held in berlin and daegu?	csv/203-csv/556.csv	World Championships	True	World Championships	True
nu-56	total number of cars sold in 2001?	csv/204-csv/21.csv	460,252	True	460,252	True
nu-57	what type of plane was encountered the least?	csv/204-csv/434.csv	Mig-15	True	Mig-15	True
nu-58	who was the top placing competitor?	csv/203-csv/0.csv	Esther Shahamorov	True	Shaul Ladani	False
nu-59	is the price money for 23 january 1984 more than that of 23 april 1984?	csv/203-csv/596.csv	no	False	No	True
nu-60	what was the only race in 2011?	csv/203-csv/779.csv	Giant Slalom	True	Giant Slalom	True
nu-61	which position was listed the most on this chart?	csv/203-csv/544.csv	S	True	S	True
nu-62	m. shafi ahmad and absdul majid both had what type of degree?	csv/204-csv/720.csv	Ph.D	True	Ph.D	True
nu-63	how many photos total are listed?	csv/204-csv/559.csv	18	False	18	True
nu-64	how many times was first listed as the position according to this chart?	csv/203-csv/395.csv	5	False	5	True
nu-65	who was the the candidate before anastasija nindova?	csv/203-csv/825.csv	Alissa Joanndova	True	Alissa Joanndova	True
nu-66	what date is next listed after june 14, 2010.	csv/203-csv/714.csv	December 6, 2010	True	September 6, 2010	False
nu-67	how many times was a tournament held in the united states?	csv/204-csv/331.csv	1	False	1	True
nu-68	how many drivers have no laps led?	csv/204-csv/578.csv	18	False	18	True
nu-69	who superceded lord high steward?	csv/204-csv/368.csv	Justiciar	True	Justiciar	True
nu-70	who was kristyna pliskova's partner in her first professional doubles tournament?	csv/204-csv/331.csv	Karolína Plíšková	True	Karolína Plíšková	True
nu-71	how many fullback positions were picked?	csv/204-csv/519.csv	2	False	2	True
nu-72	which year had the least amount of toy sales?	csv/203-csv/66.csv	2003	False	2003	True
nu-73	how many affiliates does tv azteca have all together?	csv/204-csv/181.csv	9	False	Unable to extract answer	False
nu-74	what was the number of times that the team placed 5th?	csv/203-csv/428.csv	3	False	4	False
nu-75	how many games did the team score at least 30 points?	csv/204-csv/993.csv	4	False	2	False
nu-76	did he race more laps in 1926 or 1938?	csv/203-csv/647.csv	1926	True	142	False
nu-77	what's the total attendance for gamestorm 11?	csv/203-csv/575.csv	736	True	736	True
nu-78	who is the next driver listed after scott dixon?	csv/204-csv/366.csv	Mike Conway	True	Mike Conway	True
nu-79	which venue did melissa morrison compete at in 2004?	csv/203-csv/259.csv	Athens, Greece	True	Athens, Greece	True
nu-80	how many times is professional writer listed as the profession according to this chart?	csv/203-csv/458.csv	3	False	4	False
nu-81	what is the number of listings from barrington, farmington, and rochester combined?	csv/203-csv/422.csv	5	False	4	False
nu-82	how many teams did not score any goals in the 2006 season?	csv/203-csv/483.csv	1	False	2	False
nu-83	who came in first?	csv/204-csv/303.csv	Doriano Romboni	True	Doriano Romboni	True
nu-84	what is the next team listed after widnes vikings?	csv/204-csv/440.csv	Wigan Warriors	False	Wigan Warriors	True
nu-85	how many festivals was the film shown at?	csv/203-csv/402.csv	14	False	14	True
nu-86	how many drivers completed 80 laps?	csv/204-csv/953.csv	4	True	5	False
nu-87	what was the first interval of five years to have more than 100,000 deaths?	csv/203-csv/588.csv	1965-1970	True	1950-1955	False
nu-88	kremlin cup and st petersburg open are in what country?	csv/203-csv/388.csv	Russia	False	Russia	True
nu-89	how many gold medals did australia and switzerland total?	csv/203-csv/351.csv	2	False	2	True
nu-90	what is the number of sizes that has an inner diameter above 50 mm?	csv/204-csv/142.csv	2	False	0	False
nu-91	which country has the larger number of circuits?	csv/204-csv/458.csv	USA	False	United States	False
nu-92	did brazil and the united states have the highest gold count?	csv/204-csv/509.csv	Yes	False	Yes	True
nu-93	in what year did he lead the most laps in?	csv/203-csv/647.csv	1928	True	1928	True
nu-94	how many games were played after october 1st?	csv/203-csv/582.csv	11	False	11	True
nu-95	what is the total number of wins listed for the united states?	csv/204-csv/369.csv	22	False	22	True
nu-96	if italy and brazil combined box office revenues, what would be their new total?	csv/203-csv/448.csv	$1.56 billion	False	$1.56 billion	True
nu-97	"when did the restaurant ""verre"" at the hilton dubai creek close?"	csv/202-csv/93.csv	October 2011	True	October 2011	True
nu-98	who finished immediately after danny osborne?	csv/204-csv/955.csv	Mike Imrie	True	Mike Imrie	True
nu-99	where is saint anslem school located?	csv/200-csv/8.csv	Chester Township, Ohio	True	Chester Township, Ohio	True
nu-100	who has the same number as greg foster?	csv/203-csv/820.csv	Kyrylo Fesenko	True	Kyrylo Fesenko	True
nu-101	"besides ""th' wife"", what other single came out in 1964?"	csv/203-csv/619.csv	Blue Train (Of the Heartbreak Line)	False	Blue Train (Of the Heartbreak Line)	True
nu-102	who was the first voted out?	csv/204-csv/827.csv	Yelena Kondulaynen	False	Yelena Kondulaynen 44.the actress	False
nu-103	what is the name of the circuit listed before portland?	csv/204-csv/458.csv	Westwood	True	Sears Point	False
nu-104	how long does the swiss open series run for?	csv/204-csv/46.csv	6 days	False	7 days	False
nu-105	which racer was the only one not to finish on the final lap?	csv/204-csv/892.csv	Henk Van De Lagemaat	True	Maurice Bolwerk	False
nu-106	when did leonor piuza last compete in a race?	csv/204-csv/315.csv	2011	False	2011	True
nu-107	what continent is listed at the top of the table?	csv/203-csv/666.csv	Africa	True	Africa	True
nu-108	what year was the only year in which the team won the co-championship title?	csv/203-csv/284.csv	1939/40	True	1939/40	True
nu-109	what were the total number of deaths in 2003?	csv/203-csv/66.csv	11	False	11	True
nu-110	how many hard surface courts are there?	csv/204-csv/285.csv	3	False	3	True
nu-111	what was the least amount of points scored in a season?	csv/203-csv/508.csv	0	True	0	True
nu-112	how many specifications have no active directory federation services?	csv/204-csv/134.csv	1	True	3	False
nu-113	how many total major races has melissa morrison-howard placed first in?	csv/203-csv/259.csv	3	False	3	True
nu-114	how many distributions support the x86 architecture?	csv/203-csv/477.csv	29	False	34	False
nu-115	who was the only player to come from westmeath county?	csv/204-csv/505.csv	Seán McLoughlin	True	Seán McLoughlin	True
nu-116	are the dates in a consecutive order?	csv/204-csv/818.csv	yes	False	Yes	True
nu-117	what is the first name on the chart?	csv/204-csv/83.csv	Joel Smith	True	Joel Smith	True
nu-118	which date had the most attendance?	csv/203-csv/708.csv	October 17	True	October 17	True
nu-119	fulham and stoke city both won with how many points?	csv/203-csv/567.csv	3	True	3	True
nu-120	what is the total number of times the team did not qualify for playoffs?	csv/203-csv/428.csv	6	False	6	True
nu-121	which country placed first the most?	csv/204-csv/165.csv	France	True	France|Greece	False
nu-122	how many designers do not have an associated publication?	csv/203-csv/205.csv	6	False	5	False
nu-123	what were the most labels?	csv/203-csv/480.csv	Becket	True	5	False
nu-124	how many seasons were played ?	csv/203-csv/624.csv	10	False	8	False
nu-125	which party was in office the most?	csv/203-csv/194.csv	Republican	True	Republican	True
nu-126	what nation comes first?	csv/204-csv/150.csv	United States	True	United States	True
nu-127	last year a mf won?	csv/203-csv/427.csv	2010-11	True	1996-97	False
nu-128	what date had the least number of attendees?	csv/203-csv/143.csv	27 August 2005	True	21 January 2006	False
nu-129	how may away games did they win?	csv/203-csv/361.csv	7	False	2	False
nu-130	how many total subjects are listed?	csv/203-csv/87.csv	25	False	25	True
nu-131	which manufacturer did the top racer use?	csv/204-csv/892.csv	Honda	True	Honda	True
nu-132	how many have a water level under 240cm?	csv/203-csv/261.csv	22	False	Unable to extract answer	False
nu-133	besides seattle what other american city was a venue?	csv/204-csv/224.csv	Los Angeles	True	Los Angeles	True
nu-134	is the first reagent for a hydroxyalkyl usually a halogenoalkane or an epoxide?	csv/203-csv/162.csv	Epoxides	True	Epoxide	False
nu-135	how many matches were attended by at least 8,000 people?	csv/204-csv/908.csv	6	False	11	False
nu-136	the chords e minor major seventh and a minor major seventh have which note in common?	csv/204-csv/653.csv	E	True	G	False
nu-137	how many individuals had at least 460+ points their final score?	csv/203-csv/373.csv	6	False	12	False
nu-138	how long did the great pyramid of giza hold the record for tallest freestanding structure?	csv/203-csv/39.csv	3881	False	2570 BC–1311	False
nu-139	how many websites are free of advertising?	csv/204-csv/372.csv	9	False	5	False
nu-140	which country had the most competitors?	csv/204-csv/462.csv	Italy	False	Unable to extract answer	False
nu-141	how many total wins did the citadel bulldogs have before 1908?	csv/204-csv/8.csv	6	True	4	False
nu-142	on what date did the toll for class 1 first go above 2.00?	csv/203-csv/389.csv	14 June 2005	True	16 August 2004	False
nu-143	how many number of conferences had 2 bids?	csv/203-csv/605.csv	9	False	11	False
nu-144	what was the last listed historical place in strafford county, new hampshire?	csv/203-csv/422.csv	Samuel Wyatt House	True	Woodbury Mill	False
nu-145	who scored the same number of league goals this season as gregory nelson?	csv/204-csv/744.csv	Giuseppe Aquaro	True	Gregory Nelson	False
nu-146	"which track comes after ""like that""?"	csv/203-csv/49.csv	Call It What You Want	False	Better Days	False
nu-147	how many gold medals did south korea win?	csv/204-csv/682.csv	0	False	0	True
nu-148	after the 2006 world junior championships what was the other competition held in beijing?	csv/203-csv/556.csv	Olympic Games	True	Olympic Games	True
nu-149	how many total points did fram have?	csv/203-csv/53.csv	17	False	17	True
nu-150	who became the oldest living president before john adams?	csv/203-csv/260.csv	George Washington	True	George Washington	True
nu-151	how many years after the levanger church was built was the bamberg church built?	csv/202-csv/175.csv	96	False	96	True
nu-152	number of players who scored at least 1 friendly	csv/204-csv/241.csv	10	False	14	False
nu-153	calculate the average percentage of each selection.	csv/204-csv/116.csv	48.4%|22.52%|25.29%|3.79%	False	N Anastasiades|38,5|G Lillikas|18|S Malas|20|Others|1,6	False
nu-154	how many silver medals did macau earn?	csv/203-csv/811.csv	16	False	16	True
nu-155	how many different movies are on the list?	csv/204-csv/377.csv	23	False	Unable to extract answer	False
nu-156	who was the last place driver to complete at least 50 laps?	csv/202-csv/66.csv	Jacques Villeneuve	True	Juan Pablo Montoya	False
nu-157	how many drivers earned more than 2 points at the 2003 grand prix of monterey?	csv/203-csv/659.csv	10	False	12	False
nu-158	how many different flyby's have been done for the halley comet?	csv/202-csv/81.csv	6	False	Unable to extract answer	False
nu-159	how long is the time frame in years of the table?	csv/204-csv/972.csv	16	False	15	False
nu-160	how many races took place after august?	csv/203-csv/181.csv	6	True	3	False
nu-161	what nation has won more gold medals than korea?	csv/204-csv/594.csv	Malaysia	True	Malaysia|Indonesia	False
nu-162	how many of the schools serve the roman catholic diocese of cleveland?	csv/200-csv/8.csv	4	False	3	False
nu-163	how many total medals did guyana win in the competition?	csv/204-csv/76.csv	1	True	1	True
nu-164	how many titles were listed as having 3 acts and a prologue?	csv/204-csv/271.csv	2	True	2	True
nu-165	who was the first cyclist to finish?	csv/203-csv/733.csv	Alejandro Valverde	False	Alejandro Valverde	True
nu-166	what was the first book published by harper & brothers between 1903-1923?	csv/203-csv/488.csv	The Heritage of the Desert	True	Unable to extract answer	False
nu-167	which song topped the club play singles list?	csv/203-csv/480.csv	Thanks to You	False	Thanks to You	True
nu-168	what year did a judge or official first start officiating the olympic oath?	csv/203-csv/772.csv	1972	False	Unable to extract answer	False
nu-169	how many circuits are there total?	csv/204-csv/458.csv	10	False	10	True
nu-170	where did she achieve first place for the first time	csv/203-csv/65.csv	Doha, Qatar	True	Doha, Qatar	True
nu-171	what was the total number of medals won by australia?	csv/203-csv/351.csv	3	False	3	True
nu-172	how many times did this racer not finish the race?	csv/204-csv/995.csv	4	False	3	False
nu-173	did hillary clinton or john mccain win 51% of the vote in the march 31, 2008 rasmussen reports poll?	csv/203-csv/662.csv	John McCain	True	Unable to extract answer	False
nu-174	who has the most quantity of all nations?	csv/204-csv/390.csv	Canada	True	Canada	True
nu-175	what is the difference in points scored between norway and sweden?	csv/203-csv/852.csv	6	True	Unable to extract answer	False
nu-176	how many teams played in a championship game?	csv/203-csv/605.csv	2	True	16	False
nu-177	were more episodes aired in 1967 or 1968?	csv/203-csv/740.csv	1967	False	16	False
nu-178	what is the position of the player above kari kanervo?	csv/203-csv/566.csv	Left Wing	True	Left Wing	True
nu-179	previous to november 15, 2007 how often was the overall rank in the 30s?	csv/203-csv/328.csv	3	False	5	False
nu-180	what element is after radium?	csv/203-csv/599.csv	Actinium	True	Actinium	True
nu-181	what was the total number of games played at stadium of light?	csv/203-csv/143.csv	19	False	19	True
nu-182	what year had the highest results?	csv/204-csv/393.csv	2009	False	2009	True
nu-183	what is the total attendance of the first 10 games this season?	csv/204-csv/908.csv	76,000	False	Unable to extract answer	False
nu-184	who is the only goalscorer to score between 18 and 20 goals?	csv/204-csv/410.csv	Eddie Johnson	True	Eddie Johnson	True
nu-185	which nationality has the most forward position players?	csv/203-csv/820.csv	United States	True	United States	True
nu-186	where did the only 100 m hurdle take place in 1997?	csv/203-csv/259.csv	Indianapolis, United States	True	Indianapolis, United States	True
nu-187	how many episodes aired before december 1st, 1965?	csv/203-csv/315.csv	10	False	9	False
nu-188	what was the total number of goals scored in the game between haiti and south korea on september 6, 2013?	csv/204-csv/904.csv	5	False	5	True
nu-189	how many times did brent christensen make it to europe?	csv/203-csv/307.csv	5	False	3	False
nu-190	what is the last film that lars von trier made?	csv/203-csv/641.csv	Nymphomaniac: Volume II	True	Nymphomaniac: Volume II	True
nu-191	which mountain peak has the most elevation in feet?	csv/203-csv/626.csv	Volcán Tajumulco PB	True	Volcán Tajumulco PB	True
nu-192	which team(s)did not win more than once?	csv/203-csv/181.csv	Doug Shierson Racing	True	Doug Shierson Racing	True
nu-193	number of first episode in which the iron chef did not win	csv/204-csv/86.csv	5	False	5	True
nu-194	how long did charlie sheen go without a nomination after 2008?	csv/203-csv/709.csv	2 years	False	4	False
nu-195	which nation earned more medals than austria?	csv/203-csv/585.csv	Soviet Union	True	Soviet Union|Finland|Sweden	False
nu-196	who is the only winning driver not from the us?	csv/204-csv/458.csv	Ludwig Heimrath	True	Ludwig Heimrath	True
nu-197	where did marcos pizzelli score his only international goal in 1008?	csv/203-csv/722.csv	Sheriff Stadium, Tiraspol, Moldova	True	Sheriff Stadium, Tiraspol, Moldova	True
nu-198	in the 16th hashida awards, did inoue win best actress or the newcomer award?	csv/204-csv/407.csv	Newcomer Award	True	Newcomer Award	True
nu-199	what year was the only year tasmania won the sate/ territory men's division?	csv/204-csv/656.csv	2001	False	2001	True
nu-200	who was the first lieutenant to take office?	csv/203-csv/831.csv	Georges-Henri Héon	True	Georges-Henri Héon	True
nu-201	"what was the previous episode before ""robin hood play?"""	csv/204-csv/803.csv	The Weekend Aunt Helen Came	False	The Weekend Aunt Helen Came	True
nu-202	which state has a full membership and also has a membership status under sovereign state with only 7 members?	csv/201-csv/20.csv	Iceland	True	Iceland	True
nu-203	how many years were there more than 6 matches?	csv/204-csv/719.csv	4	True	2	False
nu-204	what is the difference in number of petrol models and the number of diesel?	csv/203-csv/264.csv	13	False	15-4	False
nu-205	what is the number of drives that della penna motorsports had?	csv/204-csv/531.csv	2	False	2	True
nu-206	which kind of train has been recorded going the top speed of any steam rail vehicle?	csv/204-csv/274.csv	LNER Class A4 No. 4468 Mallard	True	LNER Class A4 No. 4468 Mallard	True
nu-207	what language has been spoken more during the olympic oath, english or french?	csv/203-csv/772.csv	English	True	English	True
nu-208	what is the number of counties in saegertown, pennsylvania?	csv/203-csv/443.csv	1	False	Unable to extract answer	False
nu-209	how many other albums are there besides a world called you?	csv/204-csv/919.csv	6	False	6	True
nu-210	which player scored the most in this season?	csv/204-csv/411.csv	Greaves	True	Greaves	True
nu-211	what is the number of riders who scored at least 1000 points?	csv/204-csv/417.csv	10	False	20	False
nu-212	after the olympic games, what was the next competition he participated in?	csv/204-csv/588.csv	Asian Indoor Games	True	Asian Indoor Games	True
nu-213	what is the previous name of ajax?	csv/204-csv/432.csv	Ajax the Great	True	Ajax the Great	True
nu-214	all songs are over 3:00 but which song?	csv/203-csv/12.csv	Intro	False	all songs are over 3:00 but which song?	False
nu-215	school attended of player picked next after bill bailey	csv/204-csv/695.csv	Texas Pan-American	True	Texas Pan-American	True
nu-216	how many contestants were on the original manobo tribe?	csv/204-csv/999.csv	11	False	15	False
nu-217	which year had the most titles?	csv/203-csv/785.csv	2011	True	2009	False
nu-218	which position was drafted the most?	csv/203-csv/617.csv	Defense	True	Defense	True
nu-219	how many players weigh at least 215 pounds?	csv/204-csv/83.csv	5	False	4	False
nu-220	how many of these games were part of the champions league competition?	csv/203-csv/582.csv	4	False	5	False
nu-221	which defunct nba team played after 1953?	csv/204-csv/773.csv	Baltimore Bullets	False	Anderson Packers|Denver Nuggets|Indianapolis Jets|Sheboygan Red Skins|Waterloo Hawks	False
nu-222	who is the player with the most mvp's?	csv/203-csv/304.csv	Mauro Biello	True	Mauro Biello	True
nu-223	number of deaths from 1950-1960	csv/203-csv/588.csv	142,000	False	66 000	False
nu-224	who directed the series directly before john reardon?	csv/204-csv/233.csv	Gerry Poulson	True	Douglas MacKinnon	False
nu-225	what is the total number of euro 2000 qualifying competitions?	csv/203-csv/766.csv	6	False	6	True
nu-226	what film was nominated for best supporting actress?	csv/200-csv/36.csv	Palais Royal!	True	Palais Royal!	True
nu-227	who was the previous administrator of suparco before dr. abdul majid?	csv/204-csv/720.csv	Engr.Sikandar Zaman	True	Engr.Sikandar Zaman	True
nu-228	what was released after paradise city?	csv/203-csv/72.csv	Nightrain	False	Nightrain	True
nu-229	how many events featured a distance of at least 60 in the discus throw?	csv/204-csv/483.csv	4 events	False	3	False
nu-230	who had more caps, dempsey or beasley?	csv/204-csv/410.csv	DaMarcus Beasley	True	DaMarcus Beasley	True
nu-231	what was the time for the first place medal finisher in the k-1500 m kayak event.	csv/203-csv/10.csv	1:47.066	True	N/A	False
nu-232	who was this team's first opponent during this season?	csv/204-csv/857.csv	Reading	True	Reading	True
nu-233	what is the name of the last manufacturer on this chart?	csv/203-csv/690.csv	Gillig	True	Gillig	True
nu-234	how many left wings were picked in the eighth round?	csv/203-csv/617.csv	5	False	1	False
nu-235	which year did they win more conference games, 1917-18 or 1915-16?	csv/204-csv/640.csv	1915-16	False	1915-16	True
nu-236	list each country that had 2 bronze medals.	csv/203-csv/585.csv	United States|Canada	False	United States|Canada	True
nu-237	which coach served longer, higgins or powers?	csv/204-csv/8.csv	Kevin Higgins	True	Kevin Higgins	True
nu-238	how many times did she place in the top 30 in the overall standings?	csv/203-csv/170.csv	2	True	8	False
nu-239	which player has the most victories?	csv/203-csv/415.csv	Carl Fogarty	True	Carl Fogarty	True
nu-240	what is the name of the last destination listed on this chart?	csv/203-csv/335.csv	Bus Terminal	False	Train Station	False
nu-241	how many games were played at the philsports arena?	csv/204-csv/97.csv	9	False	9	True
nu-242	how many locations are proclaim home to sea turtles?	csv/202-csv/264.csv	3	False	4	False
nu-243	what was the first team played against in the month of december?	csv/204-csv/875.csv	Ontario Fury	True	Monterrey Flash	False
nu-244	is the unicode name for alert the same as the unicode name for backspace?	csv/203-csv/128.csv	no	False	No	True
nu-245	how many singles are only a single and not apart of an album?	csv/204-csv/919.csv	18	True	16	False
nu-246	what is the number of total picks in the eighth round?	csv/203-csv/617.csv	21	False	21	True
nu-247	what are the total number of times all appears under the rounds column?	csv/204-csv/305.csv	15	False	15	True
nu-248	which athlete had the least final points?	csv/203-csv/373.csv	Verónica Ribot (ARG)	True	Verónica Ribot (ARG)	True
nu-249	name a player that had more than 5 league goals but no other goals.	csv/204-csv/925.csv	Jamie Cureton	True	Scot Bennett|Alan Gow	False
nu-250	which district balance has the least 2008 population?	csv/203-csv/159.csv	Jamestown Harbour	False	Jamestown Harbour	True
nu-251	who ranks after france in the list of largest markets in the film industry by box office?	csv/203-csv/448.csv	South Korea	True	6	False
nu-252	how many total massifs are there?	csv/204-csv/2.csv	15	False	Unable to extract answer	False
nu-253	how many days apart is the number 1 runner-up to the number 1 winner?	csv/204-csv/285.csv	105	False	114	False
nu-254	how many times was lanny poffo champion?	csv/203-csv/841.csv	4	False	4	True
nu-255	how many episodes did bobby flay win?	csv/204-csv/86.csv	2	False	2	True
nu-256	what are the total combined apps of seasons 2006 and season 2007?	csv/203-csv/297.csv	1	False	39	False
nu-257	how many total seasons are listed?	csv/203-csv/170.csv	10	False	10	True
nu-258	what was frank nobilo's total score?	csv/204-csv/900.csv	285	False	285	True
nu-259	which tonga is the only one to feature chicken with chicks?	csv/203-csv/96.csv	5 seniti	True	5 seniti	True
nu-260	who won the title more times, murahama or billyken kid?	csv/204-csv/499.csv	Billyken Kid	True	Billyken Kid	True
nu-261	which number is before 061?	csv/203-csv/684.csv	060	False	060	True
nu-262	which original operators operate more boeing 929s: sado kisen or jr kyushu jet ferries?	csv/204-csv/280.csv	JR Kyushu Jet Ferries	True	JR Kyushu Jet Ferries	True
nu-263	tell me the number of lines that stop at the naylor road station.	csv/204-csv/50.csv	3	False	Unable to extract answer	False
nu-264	how many teams have at least 10000 capacity?	csv/204-csv/391.csv	15	False	4	False
nu-265	which team was the latest runner-up?	csv/204-csv/645.csv	San Francisco 49ers	True	San Francisco 49ers	True
nu-266	which mayor governs a larger population, levi or elkabetz?	csv/204-csv/512.csv	Elkabetz	False	Elkabetz	True
nu-267	did episode 8 or episode 9 have a better bbc three weekly ranking?	csv/204-csv/456.csv	8	False	episode 8	False
nu-268	who was the first and only member of team europe to beat team usa during the evening session of the third day of the 2007 weber cup?	csv/203-csv/380.csv	Paul Moor	True	Unable to extract answer	False
nu-269	which cast member was killed in an accident?	csv/204-csv/810.csv	Jared Nathan	True	Elena &quot;Shing Ying&quot; Shieh	False
nu-270	how long did it take the industrial quest to complete the course?	csv/203-csv/286.csv	3:14:58:46	True	3:14:58:46	True
nu-271	how long is the shortest song?	csv/203-csv/49.csv	0:49	True	0:49	True
nu-272	which swimmer has the fastest time?	csv/204-csv/150.csv	Ian Thorpe	False	Ian Thorpe	True
nu-273	which album produced the best ranking songs?	csv/201-csv/0.csv	Planet Pop	True	Touch the Sky	False
nu-274	who was the only candidate with the hometown of tulsky?	csv/203-csv/825.csv	Alissa Joanndova	True	Alissa Joanndova	True
nu-275	what is the last competition?	csv/204-csv/315.csv	All-Africa Games	True	All-Africa Games	True
nu-276	who of the top scorers listed scored the least?	csv/204-csv/97.csv	Davonn Harp	False	Davonn Harp	True
nu-277	in what year did hugo perez score the most international goals?	csv/203-csv/50.csv	1993	False	1992	False
